fact_id,layer,subject,subject_type,relation,object,object_type,semantic_type,source_id,confidence,may_drive_hard_mask,derivation_rule_id,evidence_scope
fact_c79ed04a97f2eef10500,decision,FIBERON_PA6_CF20,material_product,NOZZLE_TEMP_RANGE_C,280-300,typed_literal,hard_capability_requirement,polymaker_pa6cf,0.96,True,,official_or_public_curated_claim
fact_d4320a0bc5cb07ce89a8,decision,FIBERON_PA6_CF20,material_product,BED_TEMP_RANGE_C,40-50,typed_literal,hard_capability_requirement,polymaker_pa6cf,0.96,True,,official_or_public_curated_claim
fact_1fc0fcba8a9e3121a85f,decision,FIBERON_PA6_CF20,material_product,DRYBOX,recommended,typed_literal,soft_recommendation,polymaker_pa6cf,0.96,False,,official_or_public_curated_claim
fact_d86d9d07ffa3f19dc315,decision,FIBERON_PA6_CF20,material_product,WEAR_RESISTANT_NOZZLE,recommended,typed_literal,soft_recommendation,polymaker_pa6cf,0.96,False,,official_or_public_curated_claim
fact_c5576e4b15bed5bce163,decision,PRUSA_MK4S,printer_model,BUILD_VOLUME_MM,250x210x220,typed_literal,hard_capability,prusa_mk4s,0.98,True,,official_or_public_curated_claim
fact_4a8875716f8413654483,decision,PRUSA_MK4S,printer_model,MAX_NOZZLE_C,290,typed_literal,hard_capability,prusa_mk4s,0.98,True,,official_or_public_curated_claim
fact_06ea881e6a1ce5c4ad1a,decision,PRUSA_MK4S,printer_model,MAX_BED_C,120,typed_literal,hard_capability,prusa_mk4s,0.98,True,,official_or_public_curated_claim
fact_b38febb8b5e7808a306a,decision,PRUSA_MK4S,printer_model,ENCLOSED,False,typed_literal,hard_capability,prusa_mk4s,0.98,True,,official_or_public_curated_claim
fact_79143de6811f1a789a87,decision,PRUSA_MK4S,printer_model,HARDENED_NOZZLE,False,typed_literal,hard_capability,prusa_mk4s,0.98,True,,official_or_public_curated_claim
fact_13e30d2007197802cbc5,decision,PRUSA_CORE_ONE_PLUS,printer_model,BUILD_VOLUME_MM,250x220x270,typed_literal,hard_capability,prusa_core_one_plus,0.98,True,,official_or_public_curated_claim
fact_b87ed580fc7c53bed93d,decision,PRUSA_CORE_ONE_PLUS,printer_model,MAX_NOZZLE_C,290,typed_literal,hard_capability,prusa_core_one_plus,0.98,True,,official_or_public_curated_claim
fact_0521b07263869e8ccb77,decision,PRUSA_CORE_ONE_PLUS,printer_model,MAX_BED_C,120,typed_literal,hard_capability,prusa_core_one_plus,0.98,True,,official_or_public_curated_claim
fact_057e03e18479126456e4,decision,PRUSA_CORE_ONE_PLUS,printer_model,ENCLOSED,True,typed_literal,hard_capability,prusa_core_one_plus,0.98,True,,official_or_public_curated_claim
fact_5f5e7e27d7d85e8b9df1,decision,PRUSA_CORE_ONE_PLUS,printer_model,HARDENED_NOZZLE,False,typed_literal,hard_capability,prusa_core_one_plus,0.98,True,,official_or_public_curated_claim
fact_cf98a8cde279ca4ca1e5,decision,PRUSA_CORE_ONE_L,printer_model,BUILD_VOLUME_MM,300x300x330,typed_literal,hard_capability,prusa_core_one_l,0.96,True,,official_or_public_curated_claim
fact_ad3c22d34d7a87b9ec53,decision,PRUSA_CORE_ONE_L,printer_model,MAX_NOZZLE_C,290,typed_literal,hard_capability,prusa_core_one_l,0.96,True,,official_or_public_curated_claim
fact_f9ae2ffe0d0fd9285a49,decision,PRUSA_CORE_ONE_L,printer_model,MAX_BED_C,120,typed_literal,hard_capability,prusa_core_one_l,0.96,True,,official_or_public_curated_claim
fact_f7bdbd11c9b897b8f395,decision,PRUSA_CORE_ONE_L,printer_model,ENCLOSED,True,typed_literal,hard_capability,prusa_core_one_l,0.96,True,,official_or_public_curated_claim
fact_53831a1b289e26283940,decision,PRUSA_CORE_ONE_L,printer_model,HARDENED_NOZZLE,False,typed_literal,hard_capability,prusa_core_one_l,0.96,True,,official_or_public_curated_claim
fact_ab2924f3ba5797871383,decision,PRUSA_XL,printer_model,BUILD_VOLUME_MM,360x360x360,typed_literal,hard_capability,prusa_xl,0.98,True,,official_or_public_curated_claim
fact_9f7dd8a422e5448ca581,decision,PRUSA_XL,printer_model,MAX_NOZZLE_C,290,typed_literal,hard_capability,prusa_xl,0.98,True,,official_or_public_curated_claim
fact_83a08eef030f67ae427f,decision,PRUSA_XL,printer_model,MAX_BED_C,120,typed_literal,hard_capability,prusa_xl,0.98,True,,official_or_public_curated_claim
fact_481c1f4d26c365950226,decision,PRUSA_XL,printer_model,ENCLOSED,False,typed_literal,hard_capability,prusa_xl,0.98,True,,official_or_public_curated_claim
fact_250beddce6b2a3599ec9,decision,PRUSA_XL,printer_model,HARDENED_NOZZLE,False,typed_literal,hard_capability,prusa_xl,0.98,True,,official_or_public_curated_claim
fact_ef0bbecde81478f7bf56,decision,BAMBU_A1,printer_model,BUILD_VOLUME_MM,256x256x256,typed_literal,hard_capability,bambu_a1,0.99,True,,official_or_public_curated_claim
fact_0550115708a06690d791,decision,BAMBU_A1,printer_model,MAX_NOZZLE_C,300,typed_literal,hard_capability,bambu_a1,0.99,True,,official_or_public_curated_claim
fact_9b7ddead72e78f45f911,decision,BAMBU_A1,printer_model,MAX_BED_C,100,typed_literal,hard_capability,bambu_a1,0.99,True,,official_or_public_curated_claim
fact_3cc83053e10e4c2a9594,decision,BAMBU_A1,printer_model,ENCLOSED,False,typed_literal,hard_capability,bambu_a1,0.99,True,,official_or_public_curated_claim
fact_4782d3dbc2983dc4af24,decision,BAMBU_A1,printer_model,HARDENED_NOZZLE,False,typed_literal,hard_capability,bambu_a1,0.99,True,,official_or_public_curated_claim
fact_497d499b1024202d7b2e,decision,BAMBU_A1_MINI,printer_model,BUILD_VOLUME_MM,180x180x180,typed_literal,hard_capability,bambu_a1mini,0.99,True,,official_or_public_curated_claim
fact_dc5c258c402800541e44,decision,BAMBU_A1_MINI,printer_model,MAX_NOZZLE_C,300,typed_literal,hard_capability,bambu_a1mini,0.99,True,,official_or_public_curated_claim
fact_ab6771f52e3bba2e1ffb,decision,BAMBU_A1_MINI,printer_model,MAX_BED_C,80,typed_literal,hard_capability,bambu_a1mini,0.99,True,,official_or_public_curated_claim
fact_43e47e10f016576f40b3,decision,BAMBU_A1_MINI,printer_model,ENCLOSED,False,typed_literal,hard_capability,bambu_a1mini,0.99,True,,official_or_public_curated_claim
fact_3ce1ef37d82a0cd6c67c,decision,BAMBU_A1_MINI,printer_model,HARDENED_NOZZLE,False,typed_literal,hard_capability,bambu_a1mini,0.99,True,,official_or_public_curated_claim
fact_6f438bdeaa4c9151728c,decision,BAMBU_P1S,printer_model,BUILD_VOLUME_MM,256x256x256,typed_literal,hard_capability,bambu_p1s,0.99,True,,official_or_public_curated_claim
fact_e66465b5812aba30603e,decision,BAMBU_P1S,printer_model,MAX_NOZZLE_C,300,typed_literal,hard_capability,bambu_p1s,0.99,True,,official_or_public_curated_claim
fact_3fc647c533e88ed69b24,decision,BAMBU_P1S,printer_model,MAX_BED_C,100,typed_literal,hard_capability,bambu_p1s,0.99,True,,official_or_public_curated_claim
fact_d9d554812d9d821e25ae,decision,BAMBU_P1S,printer_model,ENCLOSED,True,typed_literal,hard_capability,bambu_p1s,0.99,True,,official_or_public_curated_claim
fact_780c340fcf645123ee60,decision,BAMBU_P1S,printer_model,HARDENED_NOZZLE,False,typed_literal,hard_capability,bambu_p1s,0.99,True,,official_or_public_curated_claim
fact_163e3a56a1fa87aec498,decision,BAMBU_X1C,printer_model,BUILD_VOLUME_MM,256x256x256,typed_literal,hard_capability,bambu_x1c,0.99,True,,official_or_public_curated_claim
fact_474948847346cefd3c7f,decision,BAMBU_X1C,printer_model,MAX_NOZZLE_C,300,typed_literal,hard_capability,bambu_x1c,0.99,True,,official_or_public_curated_claim
fact_c8751b869085363b1b4d,decision,BAMBU_X1C,printer_model,MAX_BED_C,110,typed_literal,hard_capability,bambu_x1c,0.99,True,,official_or_public_curated_claim
fact_3d5a39eebd7707fde881,decision,BAMBU_X1C,printer_model,ENCLOSED,True,typed_literal,hard_capability,bambu_x1c,0.99,True,,official_or_public_curated_claim
fact_6506cc82a41645b43ed4,decision,BAMBU_X1C,printer_model,HARDENED_NOZZLE,True,typed_literal,hard_capability,bambu_x1c,0.99,True,,official_or_public_curated_claim
fact_251d58e9d4eed71325ee,decision,CREALITY_K1C,printer_model,BUILD_VOLUME_MM,220x220x250,typed_literal,hard_capability,creality_k1c,0.97,True,,official_or_public_curated_claim
fact_f567665ac921399542e6,decision,CREALITY_K1C,printer_model,MAX_NOZZLE_C,300,typed_literal,hard_capability,creality_k1c,0.97,True,,official_or_public_curated_claim
fact_dc609cc730412e38b3e9,decision,CREALITY_K1C,printer_model,MAX_BED_C,100,typed_literal,hard_capability,creality_k1c,0.97,True,,official_or_public_curated_claim
fact_f22689872edbe53893c1,decision,CREALITY_K1C,printer_model,ENCLOSED,True,typed_literal,hard_capability,creality_k1c,0.97,True,,official_or_public_curated_claim
fact_c7349819114d18268c91,decision,CREALITY_K1C,printer_model,HARDENED_NOZZLE,True,typed_literal,hard_capability,creality_k1c,0.97,True,,official_or_public_curated_claim
fact_6fb5a5c0868f5541f1ae,decision,BAMBU_A1_MINI,printer_model,MATERIAL_SUITABILITY,PLA:ideal,typed_literal,soft_vendor_guidance,bambu_a1mini,0.98,False,,official_or_public_curated_claim
fact_c05e437dfabd8d402c58,decision,BAMBU_A1_MINI,printer_model,MATERIAL_SUITABILITY,PETG:ideal,typed_literal,soft_vendor_guidance,bambu_a1mini,0.98,False,,official_or_public_curated_claim
fact_c6f78f2ead9b4bc5a5c4,decision,BAMBU_A1_MINI,printer_model,MATERIAL_SUITABILITY,ASA:not_recommended,typed_literal,soft_vendor_guidance,bambu_a1mini,0.98,False,,official_or_public_curated_claim
fact_99e24fbc2471740d7183,decision,BAMBU_A1_MINI,printer_model,MATERIAL_SUITABILITY,ABS:not_recommended,typed_literal,soft_vendor_guidance,bambu_a1mini,0.98,False,,official_or_public_curated_claim
fact_19a315ddb27d5aa471de,decision,BAMBU_A1_MINI,printer_model,MATERIAL_SUITABILITY,PC:not_recommended,typed_literal,soft_vendor_guidance,bambu_a1mini,0.98,False,,official_or_public_curated_claim
fact_3c67c4fb4f71c5128410,decision,BAMBU_A1_MINI,printer_model,MATERIAL_SUITABILITY,PA_CF:not_recommended,typed_literal,soft_vendor_guidance,bambu_a1mini,0.98,False,,official_or_public_curated_claim
fact_0d0bd4021718716fdd9e,decision,BAMBU_A1,printer_model,MATERIAL_SUITABILITY,PLA:ideal,typed_literal,soft_vendor_guidance,bambu_a1,0.98,False,,official_or_public_curated_claim
fact_de5d508392c554286f02,decision,BAMBU_A1,printer_model,MATERIAL_SUITABILITY,PETG:ideal,typed_literal,soft_vendor_guidance,bambu_a1,0.98,False,,official_or_public_curated_claim
fact_47f5f0ff9a8226b4a0ef,decision,BAMBU_A1,printer_model,MATERIAL_SUITABILITY,ASA:not_recommended,typed_literal,soft_vendor_guidance,bambu_a1,0.98,False,,official_or_public_curated_claim
fact_a16ec0db7a3c919f3ec4,decision,BAMBU_A1,printer_model,MATERIAL_SUITABILITY,ABS:not_recommended,typed_literal,soft_vendor_guidance,bambu_a1,0.98,False,,official_or_public_curated_claim
fact_34df65c2361ae2e48894,decision,BAMBU_A1,printer_model,MATERIAL_SUITABILITY,PC:not_recommended,typed_literal,soft_vendor_guidance,bambu_a1,0.98,False,,official_or_public_curated_claim
fact_3cd170f02c80be7342cd,decision,BAMBU_A1,printer_model,MATERIAL_SUITABILITY,PA_CF:not_recommended,typed_literal,soft_vendor_guidance,bambu_a1,0.98,False,,official_or_public_curated_claim
fact_3380c9959893751ee7ce,decision,BAMBU_P1S,printer_model,MATERIAL_SUITABILITY,PLA:ideal,typed_literal,soft_vendor_guidance,bambu_p1s,0.98,False,,official_or_public_curated_claim
fact_ab1dff3b4f1424f5f249,decision,BAMBU_P1S,printer_model,MATERIAL_SUITABILITY,PETG:ideal,typed_literal,soft_vendor_guidance,bambu_p1s,0.98,False,,official_or_public_curated_claim
fact_0f8805090a1c3aae60fa,decision,BAMBU_P1S,printer_model,MATERIAL_SUITABILITY,ASA:ideal,typed_literal,soft_vendor_guidance,bambu_p1s,0.98,False,,official_or_public_curated_claim
fact_22fecdb75e130ab7044e,decision,BAMBU_P1S,printer_model,MATERIAL_SUITABILITY,ABS:ideal,typed_literal,soft_vendor_guidance,bambu_p1s,0.98,False,,official_or_public_curated_claim
fact_291044dd8fff057606e8,decision,BAMBU_P1S,printer_model,MATERIAL_SUITABILITY,PC:capable,typed_literal,soft_vendor_guidance,bambu_p1s,0.98,False,,official_or_public_curated_claim
fact_7dfee409db6c848bcdf1,decision,BAMBU_P1S,printer_model,MATERIAL_SUITABILITY,PA_CF:not_recommended,typed_literal,soft_vendor_guidance,bambu_p1s,0.98,False,,official_or_public_curated_claim
fact_6e37930e1db7091d6f90,decision,BAMBU_X1C,printer_model,MATERIAL_SUITABILITY,PLA:ideal,typed_literal,soft_vendor_guidance,bambu_x1c,0.98,False,,official_or_public_curated_claim
fact_fe4a2c1b271dd0a24f6c,decision,BAMBU_X1C,printer_model,MATERIAL_SUITABILITY,PETG:ideal,typed_literal,soft_vendor_guidance,bambu_x1c,0.98,False,,official_or_public_curated_claim
fact_b5ab47eb7b172818597a,decision,BAMBU_X1C,printer_model,MATERIAL_SUITABILITY,ASA:ideal,typed_literal,soft_vendor_guidance,bambu_x1c,0.98,False,,official_or_public_curated_claim
fact_cd897210be0ff47857e2,decision,BAMBU_X1C,printer_model,MATERIAL_SUITABILITY,ABS:ideal,typed_literal,soft_vendor_guidance,bambu_x1c,0.98,False,,official_or_public_curated_claim
fact_13b6820297d4e3b27a4f,decision,BAMBU_X1C,printer_model,MATERIAL_SUITABILITY,PC:ideal,typed_literal,soft_vendor_guidance,bambu_x1c,0.98,False,,official_or_public_curated_claim
fact_9fa574b55ef4f94b0a1b,decision,BAMBU_X1C,printer_model,MATERIAL_SUITABILITY,PA_CF:ideal,typed_literal,soft_vendor_guidance,bambu_x1c,0.98,False,,official_or_public_curated_claim
fact_280820732e0c7c8634ed,decision,CREALITY_K1C,printer_model,MATERIAL_SUITABILITY,PLA:supported,typed_literal,soft_vendor_guidance,creality_k1c,0.9,False,,official_or_public_curated_claim
fact_d758472ea79aa722f1bd,decision,CREALITY_K1C,printer_model,MATERIAL_SUITABILITY,PETG:supported,typed_literal,soft_vendor_guidance,creality_k1c,0.9,False,,official_or_public_curated_claim
fact_3b0e007a34bfa211e72a,decision,CREALITY_K1C,printer_model,MATERIAL_SUITABILITY,ASA:supported,typed_literal,soft_vendor_guidance,creality_k1c,0.9,False,,official_or_public_curated_claim
fact_62c3aa0d0e2098e44469,decision,CREALITY_K1C,printer_model,MATERIAL_SUITABILITY,ABS:supported,typed_literal,soft_vendor_guidance,creality_k1c,0.9,False,,official_or_public_curated_claim
fact_0d65695cf264869fd6cb,decision,CREALITY_K1C,printer_model,MATERIAL_SUITABILITY,PC:supported,typed_literal,soft_vendor_guidance,creality_k1c,0.9,False,,official_or_public_curated_claim
fact_41d22867b53dd63a7e0a,decision,CREALITY_K1C,printer_model,MATERIAL_SUITABILITY,PA_CF:supported,typed_literal,soft_vendor_guidance,creality_k1c,0.9,False,,official_or_public_curated_claim
fact_f8131b20c4b48422f6bd,decision,PRUSA_MK4S,printer_model,MATERIAL_SUITABILITY,PLA:supported,typed_literal,soft_vendor_guidance,prusa_mk4s,0.9,False,,official_or_public_curated_claim
fact_c7feb7ed7c05d36cd881,decision,PRUSA_MK4S,printer_model,MATERIAL_SUITABILITY,PETG:supported,typed_literal,soft_vendor_guidance,prusa_mk4s,0.9,False,,official_or_public_curated_claim
fact_95a9650982705c11e98b,decision,PRUSA_MK4S,printer_model,MATERIAL_SUITABILITY,ASA:conditional,typed_literal,soft_vendor_guidance,prusa_mk4s,0.9,False,,official_or_public_curated_claim
fact_a75ac3f622c252ed2693,decision,PRUSA_MK4S,printer_model,MATERIAL_SUITABILITY,ABS:conditional,typed_literal,soft_vendor_guidance,prusa_mk4s,0.9,False,,official_or_public_curated_claim
fact_fd23bc960e0c3a785279,decision,PRUSA_MK4S,printer_model,MATERIAL_SUITABILITY,PC:supported,typed_literal,soft_vendor_guidance,prusa_mk4s,0.9,False,,official_or_public_curated_claim
fact_288ea55e6936eab4f85c,decision,PRUSA_MK4S,printer_model,MATERIAL_SUITABILITY,PA_CF:unknown,typed_literal,soft_vendor_guidance,prusa_mk4s,0.9,False,,official_or_public_curated_claim
fact_3cf3ad6554665b4e1705,decision,PRUSA_CORE_ONE_PLUS,printer_model,MATERIAL_SUITABILITY,PLA:supported,typed_literal,soft_vendor_guidance,prusa_core_one_plus,0.9,False,,official_or_public_curated_claim
fact_dc076907469aed2f714c,decision,PRUSA_CORE_ONE_PLUS,printer_model,MATERIAL_SUITABILITY,PETG:supported,typed_literal,soft_vendor_guidance,prusa_core_one_plus,0.9,False,,official_or_public_curated_claim
fact_9cc7210f631c5bf44df5,decision,PRUSA_CORE_ONE_PLUS,printer_model,MATERIAL_SUITABILITY,ASA:supported,typed_literal,soft_vendor_guidance,prusa_core_one_plus,0.9,False,,official_or_public_curated_claim
fact_a89b07f18611049cafad,decision,PRUSA_CORE_ONE_PLUS,printer_model,MATERIAL_SUITABILITY,ABS:supported,typed_literal,soft_vendor_guidance,prusa_core_one_plus,0.9,False,,official_or_public_curated_claim
fact_8b4c6fc154040a7e65be,decision,PRUSA_CORE_ONE_PLUS,printer_model,MATERIAL_SUITABILITY,PC:supported,typed_literal,soft_vendor_guidance,prusa_core_one_plus,0.9,False,,official_or_public_curated_claim
fact_f44d8ab2e5db701c82c8,decision,PRUSA_CORE_ONE_PLUS,printer_model,MATERIAL_SUITABILITY,PA_CF:conditional,typed_literal,soft_vendor_guidance,prusa_core_one_plus,0.9,False,,official_or_public_curated_claim
fact_6c1a59b177c7d95490a1,decision,PRUSA_CORE_ONE_L,printer_model,MATERIAL_SUITABILITY,PLA:supported,typed_literal,soft_vendor_guidance,prusa_core_one_l,0.9,False,,official_or_public_curated_claim
fact_c359a628b57c3fa3164c,decision,PRUSA_CORE_ONE_L,printer_model,MATERIAL_SUITABILITY,PETG:supported,typed_literal,soft_vendor_guidance,prusa_core_one_l,0.9,False,,official_or_public_curated_claim
fact_684d5da151f91f90e9a2,decision,PRUSA_CORE_ONE_L,printer_model,MATERIAL_SUITABILITY,ASA:supported,typed_literal,soft_vendor_guidance,prusa_core_one_l,0.9,False,,official_or_public_curated_claim
fact_25afa0701f488b375078,decision,PRUSA_CORE_ONE_L,printer_model,MATERIAL_SUITABILITY,ABS:supported,typed_literal,soft_vendor_guidance,prusa_core_one_l,0.9,False,,official_or_public_curated_claim
fact_37e52e2a6244bb27ac9e,decision,PRUSA_CORE_ONE_L,printer_model,MATERIAL_SUITABILITY,PC:supported,typed_literal,soft_vendor_guidance,prusa_core_one_l,0.9,False,,official_or_public_curated_claim
fact_f8d1b8f67f26f67610ff,decision,PRUSA_CORE_ONE_L,printer_model,MATERIAL_SUITABILITY,PA_CF:conditional,typed_literal,soft_vendor_guidance,prusa_core_one_l,0.9,False,,official_or_public_curated_claim
fact_7bd6ff90b194ec204b0c,decision,PRUSA_XL,printer_model,MATERIAL_SUITABILITY,PLA:supported,typed_literal,soft_vendor_guidance,prusa_xl,0.9,False,,official_or_public_curated_claim
fact_ef39a120a4f3b6db1678,decision,PRUSA_XL,printer_model,MATERIAL_SUITABILITY,PETG:supported,typed_literal,soft_vendor_guidance,prusa_xl,0.9,False,,official_or_public_curated_claim
fact_64dd9431271c6eb52dc1,decision,PRUSA_XL,printer_model,MATERIAL_SUITABILITY,ASA:conditional,typed_literal,soft_vendor_guidance,prusa_xl,0.9,False,,official_or_public_curated_claim
fact_82824a6c989c8db0aa6b,decision,PRUSA_XL,printer_model,MATERIAL_SUITABILITY,ABS:conditional,typed_literal,soft_vendor_guidance,prusa_xl,0.9,False,,official_or_public_curated_claim
fact_0acfc5c166d90539ee62,decision,PRUSA_XL,printer_model,MATERIAL_SUITABILITY,PC:supported,typed_literal,soft_vendor_guidance,prusa_xl,0.9,False,,official_or_public_curated_claim
fact_3bbf19e9fff5cf07af30,decision,PRUSA_XL,printer_model,MATERIAL_SUITABILITY,PA_CF:unknown,typed_literal,soft_vendor_guidance,prusa_xl,0.9,False,,official_or_public_curated_claim
fact_ddaae25b78ba4ccb54fe,decision,BAMBU_A1,printer_model,ALIGNS_WITH_PROFILE_MODEL,model:bambu_lab_a1,printer_model,entity_alignment,bambu_a1,0.99,False,R_ENTITY_ALIGN_001,deterministic_identifier_alignment
fact_d7e9ddcfdcd5a4879a4d,decision,BAMBU_A1_MINI,printer_model,ALIGNS_WITH_PROFILE_MODEL,model:bambu_lab_a1_mini,printer_model,entity_alignment,bambu_a1mini,0.99,False,R_ENTITY_ALIGN_001,deterministic_identifier_alignment
fact_4169400321ac9c2b8435,decision,BAMBU_P1S,printer_model,ALIGNS_WITH_PROFILE_MODEL,model:bambu_lab_p1s,printer_model,entity_alignment,bambu_p1s,0.99,False,R_ENTITY_ALIGN_001,deterministic_identifier_alignment
fact_eccb0dfd5fc07cd81cb0,decision,BAMBU_X1C,printer_model,ALIGNS_WITH_PROFILE_MODEL,model:bambu_lab_x1_carbon,printer_model,entity_alignment,bambu_x1c,0.99,False,R_ENTITY_ALIGN_001,deterministic_identifier_alignment
fact_989fc892c4c451fd3c54,decision,CREALITY_K1C,printer_model,ALIGNS_WITH_PROFILE_MODEL,model:creality_k1c,printer_model,entity_alignment,creality_k1c,0.97,False,R_ENTITY_ALIGN_001,deterministic_identifier_alignment
fact_891c61af2758414c8b15,representation,profile:anker:filament:fdm_filament_abs:0285e44d,profile,PROFILE_TYPE,profile_type:filament,profile_type,descriptive,bambu_profile_0285e44d5f6d2ee66da7,1.0,False,,slicer_configuration_not_physical_validation
fact_b7ca7847f3551b675240,representation,profile:anker:filament:fdm_filament_abs:0285e44d,profile,PROFILE_VENDOR_NAMESPACE,vendor:anker,vendor,descriptive,bambu_profile_0285e44d5f6d2ee66da7,1.0,False,,slicer_configuration_not_physical_validation
fact_c8b4bba8a36eb1024869,representation,profile:anker:filament:fdm_filament_abs:0285e44d,profile,INHERITS,profile:anker:filament:fdm_filament_common:59a319f5,profile,configuration_relation,bambu_profile_0285e44d5f6d2ee66da7,1.0,False,,slicer_configuration_not_physical_validation
fact_31c6c903b7cfce4ac9f1,representation,profile:anker:filament:fdm_filament_asa:a26d0de7,profile,PROFILE_TYPE,profile_type:filament,profile_type,descriptive,bambu_profile_a26d0de720eb60fc96bd,1.0,False,,slicer_configuration_not_physical_validation
fact_3b7fbb7649d704d8e37b,representation,profile:anker:filament:fdm_filament_asa:a26d0de7,profile,PROFILE_VENDOR_NAMESPACE,vendor:anker,vendor,descriptive,bambu_profile_a26d0de720eb60fc96bd,1.0,False,,slicer_configuration_not_physical_validation
fact_b4b8b2c0826478c85bb5,representation,profile:anker:filament:fdm_filament_asa:a26d0de7,profile,INHERITS,profile:anker:filament:fdm_filament_common:59a319f5,profile,configuration_relation,bambu_profile_a26d0de720eb60fc96bd,1.0,False,,slicer_configuration_not_physical_validation
fact_5f4d0ab5beaca515003f,representation,profile:anker:filament:fdm_filament_common:59a319f5,profile,PROFILE_TYPE,profile_type:filament,profile_type,descriptive,bambu_profile_59a319f5413029ea7e49,1.0,False,,slicer_configuration_not_physical_validation
