source_id,publisher,source_type,url,retrieved_date,source_quality,sha256,software_version
prusa_cli_example,Public issue,public slicer output,https://github.com/bambulab/BambuStudio/issues/872,2026-09-10,public,,
prusa_lithophane,Prusa forum,public slicer output,https://forum.prusa3d.com/forum/original-prusa-i3-mk3s-mk3-how-do-i-print-this-printing-help/lithophane/,2026-09-10,public,,
flashforge_ad5m,Public metadata,public slicer output,https://stackoverflow.com/questions/79648039/process-a-gcode-txt-file-to-extract-data-into-a-csv-file-with-applescript/79648154,2026-09-10,public,,
ender5_petg,Public metadata,public slicer output,https://forum.drucktipps3d.de/forum/thread/20062-interesse-an-kalibrierungstool/?postID=231031,2026-09-10,public,,
zortrax_m300,Public metadata,public slicer output,https://forum.zortrax.com/t/m300-dual-incorrectly-reporting-clogged-extruder/14551,2026-09-10,public,,
octoprint_benchy,Public metadata,public slicer output,https://github-wiki-see.page/m/OllisGit/OctoPrint-PrintJobHistory/wiki/HowToPrintJobReport,2026-09-10,public,,
tudelft_layer,TU Delft,research repository slicer output,https://repository.tudelft.nl/file/File_c03cc5bf-8a4d-40c8-8afb-d4c72b103f4a,2026-09-10,reproducible_public,,
cura559,Ultimaker Cura,public issue G-code metadata,https://github.com/Ultimaker/Cura/issues/559,2026-09-10,public,,
cura14915,Ultimaker Cura,public issue G-code metadata,https://github.com/Ultimaker/Cura/issues/14915,2026-09-10,public,,
cura21370,Ultimaker Cura,public issue G-code metadata,https://github.com/Ultimaker/Cura/issues/21370,2026-09-10,public,,
cura21212,Ultimaker Cura,public issue G-code metadata,https://github.com/Ultimaker/Cura/issues/21212,2026-09-10,public,,
cura21195,Ultimaker Cura,public issue G-code metadata,https://github.com/Ultimaker/Cura/issues/21195,2026-09-10,public,,
cura20492,Ultimaker Cura,public issue G-code metadata,https://github.com/Ultimaker/Cura/issues/20492,2026-09-10,public,,
cura17860,Ultimaker Cura,public issue G-code metadata,https://github.com/Ultimaker/Cura/issues/17860,2026-09-10,public,,
cura13943,Ultimaker Cura,public issue G-code metadata,https://github.com/Ultimaker/Cura/issues/13943,2026-09-10,public,,
cura6383,Ultimaker Cura,public issue G-code metadata,https://github.com/Ultimaker/Cura/issues/6383,2026-09-10,public,,
cura3011,Ultimaker Cura,public issue G-code metadata,https://github.com/Ultimaker/Cura/issues/3011,2026-09-10,public,,
cura2812,Ultimaker Cura,public issue G-code metadata,https://github.com/Ultimaker/Cura/issues/2812,2026-09-10,public,,
cura7809,Ultimaker Cura,public issue G-code metadata,https://github.com/Ultimaker/Cura/issues/7809,2026-09-10,public,,
cura17140,Ultimaker Cura,public issue G-code metadata,https://github.com/Ultimaker/Cura/issues/17140,2026-09-10,public,,
orca2446,OrcaSlicer,public issue slicer metadata,https://github.com/SoftFever/OrcaSlicer/issues/2446,2026-09-10,public,,
snapmaker37,Snapmaker Cura plugin,public issue G-code metadata,https://github.com/Snapmaker/Snapmaker2-ControllerIDEX/issues/37,2026-09-10,public,,
public_cura_gist,Public G-code,public slicer output,https://gist.github.com/,2026-09-10,public,,
chipce_cura,Public G-code,public slicer output,https://gist.github.com/ChipCE/,2026-09-10,public,,
bambu_profile_0285e44d5f6d2ee66da7,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,0285e44d5f6d2ee66da7449bbf4d9aae06093870a98b1688bbc0514534c74018,02.08.02.61
bambu_profile_a26d0de720eb60fc96bd,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,a26d0de720eb60fc96bd0003d399c6b0867a0f1e637ba2be5f217c03573be163,02.08.02.61
bambu_profile_59a319f5413029ea7e49,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,59a319f5413029ea7e49c0ce0d659abd8e0d991bf1d0e6a1b55adacdd5863d9e,02.08.02.61
bambu_profile_81242c6c52367ff6d8c4,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,81242c6c52367ff6d8c4456a8b6b6a5fd396af6c72207973f1c9a9dbfb371f03,02.08.02.61
bambu_profile_4375bfe8c802d9612147,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,4375bfe8c802d9612147a2c255fb8ec38c9e4876f4c826fd8f95560aa2312853,02.08.02.61
bambu_profile_582968c8be79c04e366d,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,582968c8be79c04e366df0527e9a94564059950f425bf4cc2827f922f4a7746f,02.08.02.61
bambu_profile_46f9ad939818b193197c,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,46f9ad939818b193197c7396710a5fce73c7cd4fb36ec45836c3d0a3a96e563d,02.08.02.61
bambu_profile_d269aba44b6545e33f6e,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,d269aba44b6545e33f6e8721453e378b413b5912c971b6299788c1410ecfcf7c,02.08.02.61
bambu_profile_66c80648afb0f504b115,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,66c80648afb0f504b115292cb97fb9bed59eea8617e8161096030de13a4ea446,02.08.02.61
bambu_profile_07da2d2e29922d4883dc,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,07da2d2e29922d4883dc13b543bb4a83ba6b78e6ccd48f1fd3889f68e6f74bc4,02.08.02.61
bambu_profile_a4d0bef8257122d8b887,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,a4d0bef8257122d8b8873fae74f052f8b4d026360787b03df93635d6b89575b1,02.08.02.61
bambu_profile_b938151060ab6c10fa7d,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,b938151060ab6c10fa7d3a22e7e019ed9a63d16cf0790b892a88cd7f6872ef42,02.08.02.61
bambu_profile_77341490bdaca11aa86e,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,77341490bdaca11aa86e69be33fee8ccb5fe6f0a7ea5c3746a94c2681fc3228d,02.08.02.61
bambu_profile_9cddc0099f3cf1f7d865,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,9cddc0099f3cf1f7d86580a9dff4214f17a14d55f6f22cd0a263ca44b0713bdc,02.08.02.61
bambu_profile_eb20d905f9d9c8419ca4,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,eb20d905f9d9c8419ca44779e45ced7822da0a8b5acea78cdcfb5a889d50f87a,02.08.02.61
bambu_profile_2b10c16dc8a0ef1f0ae5,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,2b10c16dc8a0ef1f0ae531fb29b4c66b8f5d14e03fb78f70a7ef99576d51abe2,02.08.02.61
bambu_profile_c3922c467dc0881a3560,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,c3922c467dc0881a3560ba9af8e7bb693c6bac8a3ed31c114ea4a15b31671806,02.08.02.61
bambu_profile_2b6aa6db69ad6d5a6f89,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,2b6aa6db69ad6d5a6f890a628ba846d074b12d8b515ec0239bec8d0ac82d2bf5,02.08.02.61
bambu_profile_1f5acd31221481f95407,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,1f5acd31221481f954073235a3a9d51f33350e797050c741b7f01fa3866d7411,02.08.02.61
bambu_profile_ba8e45b55269b906ed43,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,ba8e45b55269b906ed4338dc24169961ae90321efa30c6cfb37f17c579c9f414,02.08.02.61
bambu_profile_76849da822e2262a0d84,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,76849da822e2262a0d8436b4b8ff6799d9610f546afba67a8229816a6ab0f4d2,02.08.02.61
bambu_profile_ce48083b2bcdd7eec7dc,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,ce48083b2bcdd7eec7dc17df6eb3695f1f7bf0a9ae6af7bdabe6b9ac05f84866,02.08.02.61
bambu_profile_9ce2cfe7a3f2b07a959c,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,9ce2cfe7a3f2b07a959c5d66360757458a5616b7174ffb85bc06e6f992519b83,02.08.02.61
bambu_profile_49ec0fb54845b79a8a25,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,49ec0fb54845b79a8a25d281f0457243980b575b1141c70c623c7705920ecf69,02.08.02.61
bambu_profile_6a817d08428fa67d6171,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,6a817d08428fa67d6171ae5451796b3401d9f35bc7ed34a7df96ea938cdc56d3,02.08.02.61
bambu_profile_c4b77044c596e628a5bf,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,c4b77044c596e628a5bfd1dfbb9479bf5c15c2e7110748469ed7ac8539bf47a2,02.08.02.61
bambu_profile_39d5cd3174cab1219e0c,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,39d5cd3174cab1219e0ce8fa30018522c7009a6b8df29127a0b9b80e4bb34cd5,02.08.02.61
bambu_profile_a65799fc854e6a3bd112,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,a65799fc854e6a3bd11295956a24ad5874af23841e3340297b750763364a003f,02.08.02.61
bambu_profile_54952b2e93a8dd53e326,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,54952b2e93a8dd53e32653e593ca75a081d094b2276dd0b2a508deb339124337,02.08.02.61
bambu_profile_ea473014eadeb26c0f32,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,ea473014eadeb26c0f32e191626513eacdeb5d4e26ab8c0578f1cfcf1b6bd5ff,02.08.02.61
bambu_profile_6ac4c7f6a0dab558a235,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,6ac4c7f6a0dab558a23544f9d51274233ab3c80a7c619aef7b2e36d2d2537b23,02.08.02.61
bambu_profile_ac157ee9f4c5ac1bfa8b,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,ac157ee9f4c5ac1bfa8bae8a1d512dd3c19fcb3f94ce1d35227d136ba47d7799,02.08.02.61
bambu_profile_36a86372eb3ab778ef9e,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,36a86372eb3ab778ef9e2c16ae67bfdd042479a1a33a590581bfd2c6033ac240,02.08.02.61
bambu_profile_4268ecec3515b5c7874d,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,4268ecec3515b5c7874ddea0c55b94c4d942548d00e60c1e07dea0c090170801,02.08.02.61
bambu_profile_1c0391b30f750613b32a,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,1c0391b30f750613b32ad4d7c43d07c997b20810f145a4b7ceef4e5cde576ed6,02.08.02.61
bambu_profile_d91915996a29d5693204,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,d91915996a29d5693204f6b142b6d184459d3af74b748662e34c6a7d03d1e3d4,02.08.02.61
bambu_profile_9325ff044287d466dd30,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,9325ff044287d466dd3063e56e455d73c14eef973d43c6fa9a2e12d0b56ce10b,02.08.02.61
bambu_profile_5286a4f12ead61e58e4b,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,5286a4f12ead61e58e4b5dc7e76d010de1b74db9e7fbe4a24e49f8abe0e81c8e,02.08.02.61
bambu_profile_b81fb044bad00e94f018,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,b81fb044bad00e94f0183053774460143de08eb91f23ad68f1ee52a640f30287,02.08.02.61
bambu_profile_2d6baa169deb2240878b,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,2d6baa169deb2240878b6926948733e1e2e4e6200e637a277e4daff6009bd3e5,02.08.02.61
bambu_profile_a9da24088e78f9b8556a,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,a9da24088e78f9b8556a68cede6e3f658a113d2a8ff0a60951ddc699a021e87a,02.08.02.61
bambu_profile_d7417d992578391cfbcf,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,d7417d992578391cfbcf8aac5b6f9312b4070e148c43d5e6aef5f01b593aa78f,02.08.02.61
bambu_profile_16f9dab6993cbe3356df,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,16f9dab6993cbe3356dfdbe065301e3a81e2e97948403c39aa891681215ae24b,02.08.02.61
bambu_profile_f4dc6f3dae4736cdccc3,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,f4dc6f3dae4736cdccc3ae9dfeac68c1da533c6251684d30dfb87c59dd344f23,02.08.02.61
bambu_profile_8c7957aadfdee89e7218,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,8c7957aadfdee89e72186dacfb13b13e7a71b4b557afeb628362875bdde1470d,02.08.02.61
bambu_profile_8416394f92af8f35f92b,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,8416394f92af8f35f92bff3b802da2b77d654e6c89515a5df255d09b9b589193,02.08.02.61
bambu_profile_7754d6516d2f5033c60a,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,7754d6516d2f5033c60aa64c7a14dc28c0e5a631185fa5af3c2fb990544cfbb1,02.08.02.61
bambu_profile_981efdacb1cfca120e85,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,981efdacb1cfca120e856e05b972c6d3e5ac6cd1d27a5121008bdb76bdaeae35,02.08.02.61
bambu_profile_cf57ddfdc84b51f222ba,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,cf57ddfdc84b51f222ba82dc139a89ccd3c02c08efaffc8af2b4804d77afdf47,02.08.02.61
bambu_profile_042632dfe7da5079e9de,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,042632dfe7da5079e9de80b3a178b3b5037d7797c8e03664d9add1663f8ca62d,02.08.02.61
bambu_profile_ca5dda84bc86886b530b,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,ca5dda84bc86886b530be17612d9e313719be85f382e8883da503c2ab4f995b2,02.08.02.61
bambu_profile_e92e08fd1c52c251c5eb,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,e92e08fd1c52c251c5ebccadcc166b5791eba6ec7b77bf545bac615e7e8ad983,02.08.02.61
bambu_profile_d463052277531cd3afcd,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,d463052277531cd3afcd33438b7413344317ff1fb7a3a5ab294039ea47ed552d,02.08.02.61
bambu_profile_e01657a37240155bd93c,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,e01657a37240155bd93c1f6b804fbd78e161d3dab6edfe1536f536c5d143824c,02.08.02.61
bambu_profile_d127aee066c2b93c2fc7,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,d127aee066c2b93c2fc74818c3a83725813d981e06dd556476be764568db69e4,02.08.02.61
bambu_profile_27e7cfae8ca77d095882,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,27e7cfae8ca77d095882dde6d052b426d1353a45edd0a9867ab918113011a1f5,02.08.02.61
bambu_profile_895d867a5bc22eeca235,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,895d867a5bc22eeca2355f0807b6444c42a8554754e55e3590b957d352084fed,02.08.02.61
bambu_profile_76cf69638a5ec40fc21d,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,76cf69638a5ec40fc21dc82143157c5a16d1ff7a2b6d3fa3e36eee4dac617e22,02.08.02.61
bambu_profile_79a92c4bbc8304d3cdbc,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,79a92c4bbc8304d3cdbcb002217817754ebf7e85b3b3e39954d939414af525d7,02.08.02.61
bambu_profile_8c39596ffab727718bfc,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,8c39596ffab727718bfc08b47cd1067c7aa6dc4decbef0549fae2e54dbfcc560,02.08.02.61
bambu_profile_eb5758d817fc73e7cc2e,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,eb5758d817fc73e7cc2e3c91b624c583ba9942b0d0d4e25a89cf8c1f00b870d1,02.08.02.61
bambu_profile_2cd9429348a1fc509206,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,2cd9429348a1fc5092069479c96aa1e1fb8b34244a6d10431825ae38fb9a4bec,02.08.02.61
bambu_profile_7d026167bd9ae4264e26,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,7d026167bd9ae4264e26bcbe8f38c0114ed6a11f434413a87a198e3b8aa0840f,02.08.02.61
bambu_profile_585f0f7bbddf10499052,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,585f0f7bbddf10499052aa20f0b60624428161935612296f0a7dd979cd345fd3,02.08.02.61
bambu_profile_63d5195f88680a0b51e2,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,63d5195f88680a0b51e2e4a7ee845c5e1937154b5930c562d06a9494c1e4c5d5,02.08.02.61
bambu_profile_6dd6f3d9a1a87503fc4b,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,6dd6f3d9a1a87503fc4b6e46105d78fd3c6edad7dbda88abd5326e730f0e9b57,02.08.02.61
bambu_profile_95c9d4d5a166f3ab51db,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,95c9d4d5a166f3ab51db4e8e12b1993c6fcb8ce6d652e2a47cbf84a956821f16,02.08.02.61
bambu_profile_57f665fa03111148df73,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,57f665fa03111148df7338834ec62bd1e12bb31b7bb60b2ad709c66919f68026,02.08.02.61
bambu_profile_383afbbf3a8341519a18,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,383afbbf3a8341519a1825971b01f9bb3cd2d3b3280198cdf48ccbb9ce1e25de,02.08.02.61
bambu_profile_387470d0a530b02f5640,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,387470d0a530b02f5640890ce301acaea8204b0b363798927da9833698f0d7dd,02.08.02.61
bambu_profile_a773fc594edb22d30fdb,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,a773fc594edb22d30fdb05233ad538ed6981e48dbc4b67360bc4beb6c1358762,02.08.02.61
bambu_profile_85c5963cd5850d1ee8ab,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,85c5963cd5850d1ee8ab0ee25487010870fb3da18693f33ee0500fece9815e07,02.08.02.61
bambu_profile_c8ee7de368dc8a273a40,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,c8ee7de368dc8a273a4043e9e907e28192ab449dfe062b5d1ad9dbb3286feb7b,02.08.02.61
bambu_profile_b3eabba1361bb234bbb5,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,b3eabba1361bb234bbb5b6b6a444d43ec7e1e6a916c54ae56afd441093ca4871,02.08.02.61
bambu_profile_5539251140f4bb3f32e7,Bambu Lab / bundled profile contributor,versioned slicer configuration artifact,https://github.com/bambulab/BambuStudio/tree/master/resources/profiles,2026-09-10,official_software_distribution,5539251140f4bb3f32e7fa76b45cff849af977e0f1251f3ec7548addd8357484,02.08.02.61
